Participant,Page,Page Name,Question,Order,Page Loaded,Response Type,Response Recorded,Confirmation_confirmed,Ellipse Scale_minRangeValue,Ellipse Scale_maxRangeValue,Ellipse Scale_completed,Discrete Scale_index,Discrete Scale_value,Choose One_label,Choose One_value,Free Text_text
61139cbab9eadaa0227cca3f,1,Intro,Rail User Survey (Interval) ,1,2024-05-27T18:39:51.8973913+00:00,Confirmation,2024-05-27T18:39:57.0218208+00:00,TRUE,,,,,,,,
61139cbab9eadaa0227cca3f,4,I1 ,,4,2024-05-27T18:40:00.3123344+00:00,Ellipse Scale,2024-05-27T18:40:01.5855394+00:00,,3.5886286906470564,4.8604753946628145,TRUE,,,,,
61139cbab9eadaa0227cca3f,5,S1,,5,2024-05-27T18:40:02.5160019+00:00,Ellipse Scale,2024-05-27T18:40:03.1536177+00:00,,3.650010741068791,4.602914953108268,TRUE,,,,,
61139cbab9eadaa0227cca3f,6,I2,,6,2024-05-27T18:40:03.8569674+00:00,Ellipse Scale,2024-05-27T18:40:04.4033376+00:00,,3.4055932349495484,4.749773764587998,TRUE,,,,,
61139cbab9eadaa0227cca3f,7,S2,,7,2024-05-27T18:40:05.192717+00:00,Ellipse Scale,2024-05-27T18:40:05.8688987+00:00,,3.314836072718765,4.319661576923218,TRUE,,,,,
61139cbab9eadaa0227cca3f,8,I3,,8,2024-05-27T18:40:06.7323623+00:00,Ellipse Scale,2024-05-27T18:40:07.2395679+00:00,,4.660616256304038,4.675375061656879,TRUE,,,,,
61139cbab9eadaa0227cca3f,9,S3,,9,2024-05-27T18:40:07.9646777+00:00,Ellipse Scale,2024-05-27T18:40:08.3922997+00:00,,4.817286452705476,4.847966852824235,TRUE,,,,,
61139cbab9eadaa0227cca3f,10,I4,,10,2024-05-27T18:40:09.1564961+00:00,Ellipse Scale,2024-05-27T18:40:09.7292003+00:00,,4.559282901908878,4.604589457629491,TRUE,,,,,
61139cbab9eadaa0227cca3f,11,S4,,11,2024-05-27T18:40:10.6288506+00:00,Ellipse Scale,2024-05-27T18:40:12.8208913+00:00,,4.2022453296885836,4.275497023854297,TRUE,,,,,
61139cbab9eadaa0227cca3f,12,I5,,12,2024-05-27T18:40:13.5914645+00:00,Ellipse Scale,2024-05-27T18:40:14.220496+00:00,,4.845953856940487,4.855450946268747,TRUE,,,,,
61139cbab9eadaa0227cca3f,13,S5,,13,2024-05-27T18:40:15.0823+00:00,Ellipse Scale,2024-05-27T18:40:15.6037631+00:00,,4.950186355415766,4.966038715,TRUE,,,,,
61139cbab9eadaa0227cca3f,14,I6,,14,2024-05-27T18:40:16.5979195+00:00,Ellipse Scale,2024-05-27T18:40:20.9174788+00:00,,4.764208123874477,4.8052816250822685,TRUE,,,,,
61139cbab9eadaa0227cca3f,15,S6,,15,2024-05-27T18:40:22.2061053+00:00,Ellipse Scale,2024-05-27T18:40:22.793142+00:00,,4.514487818571819,4.522772870297853,TRUE,,,,,
